iterations,batch_size,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S),power_batch,avg_power(W),power_elapsed_time(ms),total_energy(kJ),energy_per_batch(kJ),est_energy_for_10k_batches(kJ)
60060,10,1000x1,1017.13,1000,5,295.242496,1000,42.13222757142858,1792,0.07550095180800001,7.550095180800002e-05,0.7550095180800002
60060,10,2000x1,1461.93,2000,5,410.8267838,1000,41.87507644444444,2255,0.09442829738222219,9.44282973822222e-05,0.9442829738222219
60060,10,5000x1,3185.9,5000,5,471.2953953,1000,43.87974693333332,3816,0.16744511429759995,0.00016744511429759996,1.6744511429759996
60060,10,10000x1,5966.73,10000,5,503.2907472,1000,42.19745376923076,6668,0.28137262173323074,0.00028137262173323077,2.8137262173323077
60060,10,20000x1,11537.9,20000,5,520.5453332,500,39.66999192307692,6672,0.2646781861107692,0.0005293563722215385,5.293563722215384
60060,10,30000x1,17140.2,30000,5,525.606469,200,38.19619664705882,4316,0.16485478472870585,0.0008242739236435292,8.242739236435293
60060,20,100x1,  349.7,100,5,85.87360595,2000,35.24325974999999,1345,0.04740218436374999,2.3701092181874993e-05,0.23701092181874994
60060,20,150x1,365.93,150,5,123.0973137,2000,35.589981333333334,1467,0.05221050261600001,2.6105251308000002e-05,0.26105251308000005
60060,20,200x1,387.73,200,5,154.9016068,2000,38.3841422,1368,0.0525095065296,2.62547532648e-05,0.26254753264799996
60060,20,500x1,492.05,500,5,305.1519155,2000,42.35837228571428,1692,0.07167036590742856,3.583518295371428e-05,0.35835182953714284
60060,20,1000x1,734.93,1000,5,408.6103438,2000,46.613956,2429,0.113225299124,5.6612649562000006e-05,0.5661264956200001
60060,20,2000x1,1303.69,2000,5,460.6923425,2000,42.57554800000001,3308,0.14083991278400004,7.041995639200002e-05,0.7041995639200003
60060,20,5000x1,2978.75,5000,5,504.0704994,2000,43.77226507692308,6648,0.2909980182313846,0.0001454990091156923,1.4549900911569231
60060,20,10000x1,5772.94,10000,5,520.1855554,2000,40.47382716666666,12320,0.49863755069333326,0.00024931877534666665,2.4931877534666667
60060,20,20000x1,11361.6333,20000,5,528.6211783,1000,38.89312165957447,12186,0.4739515805435745,0.0004739515805435745,4.739515805435745
60060,20,30000x1,16952.5,30000,5,531.4260434,500,38.34773738888888,9181,0.35207057696738875,0.0007041411539347775,7.041411539347775
60060,50,100x1,  169.92,100,5,176.730226,2000,36.734114000000005,1250,0.04591764250000001,2.2958821250000004e-05,0.22958821250000006
60060,50,150x1,185.8,150,5,242.4381055,2000,35.3680844,1180,0.041734339592,2.0867169796e-05,0.20867169795999999
60060,50,200x1,206.94,200,5,290.2290519,2000,41.0206364,1157,0.047460876314800005,2.3730438157400002e-05,0.23730438157400002
60060,50,500x1,348.12,500,5,431.3167873,2000,41.736888,1612,0.067279863456,3.3639931728e-05,0.33639931728
60060,50,1000x1,645.79,1000,5,465.011846,2000,47.208296000000004,2090,0.09866533864,4.933266932e-05,0.4933266932
60060,50,2000x1,1199.33,2000,5,500.7796019,2000,40.880932916666666,2915,0.11916791945208334,5.958395972604167e-05,0.5958395972604167
60060,50,5000x1,2872.84,5000,5,522.6535414,2000,41.437952720000006,6404,0.26536864921888004,0.00013268432460944001,1.3268432460944002
60060,50,10000x1,5670.7,10000,5,529.5642513,2000,38.92365791666666,12244,0.47658126753166663,0.00023829063376583332,2.382906337658333
